objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Android: Netrunner,124742,10,0,0,1,0,0,0,0,0,0,0,3,,DECK_BUILDING,,,,72293977,7.65783,7.88931,3.4142,79,46735,thing,Android: Netrunner,2,2,45,45,45,2012,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Azul,230802,8,0,0,1,0,0,0,0,0,0,0,3,,ABSTRACT,,,,83957278,7.62026,7.72955,1.7702,88,166494,thing,Azul,2,4,45,45,30,2017,"2,3,4",2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
BANG! The Dice Game,143741,8,0,0,1,0,0,0,0,0,0,0,3,,PARTY,,,,81205127,6.73088,6.88541,1.2778,835,41398,thing,BANG! The Dice Game,3,8,15,15,15,2013,"5,6,7,8",6,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
The Battle of Versailles,379959,6,0,0,1,0,0,0,0,0,0,0,3,,EUROGAME,,,,125576717,5.83511,7.47758,2.6429,4236,1165,thing,The Battle of Versailles,2,2,45,45,30,2024,2,2,14+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
BattleCON: War of Indines,89409,0,0,0,1,0,0,0,0,0,0,0,3,,AMERICAN_STYLE,,,,133719460,6.46248,7.63517,2.7586,1351,3806,thing,BattleCON: War of Indines,2,4,60,60,15,2012,"2,3,4",2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Blitz Bowl: Ultimate Edition,359065,9,0,0,1,0,0,0,0,0,0,0,3,,AMERICAN_STYLE,,,,114119254,5.77904,8.25127,2.2727,4832,810,thing,Blitz Bowl: Ultimate Edition,2,2,45,45,30,2022,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Brass: Birmingham,224517,10,0,0,1,0,0,0,0,0,0,0,3,,EUROGAME,,,,72060273,8.40159,8.57667,3.868,1,74868,thing,Brass: Birmingham,2,4,120,120,60,2018,"2,3,4",4,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Cerebria: The Inside World,218479,8,0,0,1,0,0,0,0,0,0,0,3,,AREA_CONTROL,,,,76271916,6.67469,7.71866,4.3407,930,5561,thing,Cerebria: The Inside World,1,4,120,120,60,2018,"1,2,3,4",4,16+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Charterstone,197376,0,0,0,1,0,0,0,0,0,0,0,3,,LEGACY,,,,125649659,6.90702,7.18878,2.8535,598,26572,thing,Charterstone,1,6,75,75,45,2017,"2,3,4,5,6",6,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Clank! Legacy: Acquisitions Incorporated,266507,0,0,0,1,0,0,0,0,0,0,0,3,,LEGACY,,,,83957230,7.94588,8.51318,2.7342,24,18340,thing,Clank! Legacy: Acquisitions Incorporated,2,4,120,120,90,2019,"2,3,4",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
